Activity_StartDate,Result_Measure,Result_MeasureUnit,Result_Characteristic,ResultAnalyticalMethod_Description,Result_CharacteristicGroup
1997-07-16,0.47,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1997-07-24,0.48,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1997-07-31,0.55,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1997-08-08,0.45,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1997-08-15,0.41,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1997-08-20,0.40,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1997-08-26,0.43,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1997-09-09,0.39,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1997-10-28,0.52,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1997-11-20,0.43,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1997-12-18,0.50,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1998-01-08,0.52,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1998-02-05,0.51,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1998-02-19,0.17,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1998-03-18,0.43,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1998-03-30,0.43,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1998-04-20,0.44,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1998-05-14,0.51,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1998-05-18,0.50,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1998-06-04,0.49,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1998-07-15,0.45,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1998-08-17,0.49,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1999-03-25,0.35,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
