agency_cd,site_no,parameter_cd,ts_id,loc_web_ds,year_nu,month_nu,mean_va,count_nu
USGS,05320500,00060,325200,,1957,9,40.2,30
USGS,05320500,00060,325200,,1957,10,21.7,31
USGS,05320500,00060,325200,,1957,11,62.6,30
USGS,05320500,00060,325200,,1957,12,39.5,31
USGS,05320500,00060,325200,,1958,1,26.4,31
USGS,05320500,00060,325200,,1958,2,17.1,28
USGS,05320500,00060,325200,,1958,3,33.8,31
USGS,05320500,00060,325200,,1958,4,239.3,30
USGS,05320500,00060,325200,,1958,5,124.9,31
USGS,05320500,00060,325200,,1958,6,78.8,30
USGS,05320500,00060,325200,,1958,7,36.5,31
USGS,05320500,00060,325200,,1958,8,10.1,31
USGS,05320500,00060,325200,,1958,9,15.3,30
USGS,05320500,00060,325200,,1958,10,8.66,31
USGS,05320500,00060,325200,,1958,11,12.6,30
USGS,05320500,00060,325200,,1958,12,5.04,31
USGS,05320500,00060,325200,,1959,1,3.0,31
USGS,05320500,00060,325200,,1959,2,1.68,28
USGS,05320500,00060,325200,,1959,3,48.7,31
USGS,05320500,00060,325200,,1959,4,85.3,30
USGS,05320500,00060,325200,,1959,5,91.2,31
USGS,05320500,00060,325200,,1959,6,272.7,30
USGS,05320500,00060,325200,,1959,7,281.4,31
USGS,05320500,00060,325200,,1959,8,40.6,31
USGS,05320500,00060,325200,,1959,9,179.0,30
USGS,05320500,00060,325200,,1959,10,291.3,31
USGS,05320500,00060,325200,,1959,11,322.8,30
USGS,05320500,00060,325200,,1959,12,300.7,31
USGS,05320500,00060,325200,,1960,1,241.1,31
USGS,05320500,00060,325200,,1960,2,59.6,29
USGS,05320500,00060,325200,,1960,3,234.3,31
USGS,05320500,00060,325200,,1960,4,1287.0,30
USGS,05320500,00060,325200,,1960,5,3706.0,31
USGS,05320500,00060,325200,,1960,6,1266.0,30
USGS,05320500,00060,325200,,1960,7,887.3,31
USGS,05320500,00060,325200,,1960,8,100.4,31
USGS,05320500,00060,325200,,1960,9,45.4,30
