parm_cd,group,parm_nm,parm_unit
63665,"Organics, Pesticide","Tetradifon, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
63673,"Inorganics, Minor, Metals","Iron (biologically reactive) water, filtered, micrograms per liter",ug/l
63674,"Organics, Other","Anhydroerthromycin, water, filtered, recoverable, micrograms per liter",ug/l
63675,Physical,"Turbidity, water, unfiltered, broad band light source (400-680 nm), detection angle 90 +-30 degrees to incident light, nephelometric turbidity units (NTU)",NTU
63676,Physical,"Turbidity, water, unfiltered, broad band light source (400-680 nm), detectors at multiple angles including 90 +-30 degrees, ratiometric correction, NTRU",NTRU
63677,Physical,"Backscatter turbidity, water, unfiltered, broad band light source (400-680 nm), detection angle 0-45 degrees to incident light, backscatter units (BU)",BU
63678,Physical,"Attenuation turbidity, water, unfiltered, broad band light source (400-680 nm), detection angle 180 degrees to incident light, attenuation units (ATU)",ATU
63679,Physical,"Turbidity, water, unfiltered, broad band light source (400-680 nm), multiple beam, detectors at multiple angles including 90 degrees, NTMU",NTMU
63680,Physical,"Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU)",FNU
63681,Physical,"Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detectors at multiple angles including 90 +-2.5 degrees, ratiometric correction, FNRU",FNRU
63682,Physical,"Turbidity, water, unfiltered, monochrome near infra-red LED light source, 780-900 nm, detection angle 0-45 degrees to incident light (backscatter), FBU",FBU
63683,Physical,"Turbidity, water, unfiltered, monochrome near infra-red LED light source, 780-900 nm, detection angle 180 degrees to incident light (attenuation), FAU",FAU
63684,Physical,"Turbidity, water, unfiltered, monochrome near infra-red LED light source, 780-900 nm, multiple beam, detectors at multiple angles including 90 degrees, FNMU",FNMU
63685,"Organics, Other","Microcystin LR, water, filtered, recoverable, micrograms per liter",ug/l
63686,"Organics, Other","Microcystin LR, water, unfiltered, recoverable, micrograms per liter",ug/l
63687,"Organics, Other","Microcystin LR, algae, recoverable, micrograms per milligram",ug/mg
63688,Microbiological,"Actinomycetes, standard plate count, double agar layer, water, colonies per milliliter",col/mL
63689,"Inorganics, Major, Non-metals","Bromide, water, unfiltered, milligrams per liter",mg/l
63690,"Organics, Pesticide","Thionazin, water, unfiltered, recoverable, micrograms per liter",ug/l
63691,"Organics, PCBs","Total Aroclors, water, unfiltered, recoverable, micrograms per liter",ug/l
63692,"Inorganics, Minor, Non-metals","Perchlorate, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
63693,"Inorganics, Minor, Metals","Titanium, solids, recoverable, dry weight, milligrams per kilogram",ug/kg
63694,"Organics, PCBs","Aroclor 1262, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
63695,"Organics, PCBs","Aroclor 1268, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
63696,"Organics, PCBs","Total Aroclors, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
63697,"Organics, Pesticide","Dalapon, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
63698,"Organics, Pesticide","2,4-DB, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
63699,"Organics, Pesticide","Dinoseb, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
63700,"Organics, Other","Bromochloromethane, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
63701,"Organics, Other","n-Butylbenzene, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
63702,"Organics, Other","sec-Butylbenzene, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
63703,"Organics, Other","tert-Butylbenzene, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
63704,"Organics, Other","4-Chlorotoluene, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
63705,"Organics, Other","2,2-Dichloropropane, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
63706,"Organics, Other","1,1-Dichloropropene, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
63707,"Organics, Other","4-Isopropyltoluene, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
63708,"Organics, Other","Methyl acrylonitrile, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
63709,"Organics, Other","n-Propylbenzene, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
63710,"Organics, Other","1,2,3-Trichlorobenzene, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
63711,"Organics, Other","1,2,4-Trimethylbenzene, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
63712,"Organics, Other","1,3,5-Trimethylbenzene, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
63713,"Inorganics, Major, Non-metals","Bromide, solids, recoverable, dry weight, milligrams per kilogram",mg/kg
63714,"Inorganics, Major, Non-metals","Fluoride, solids, recoverable, dry weight, milligrams per kilogram",mg/kg
63715,Nutrient,"Orthophosphate, solids, recoverable, dry weight, milligrams per kilogram",mg/kg
63716,"Organics, Other","Oil and grease, solids, hexane extraction, recoverable, dry weight, milligrams per kilogram",mg/kg
63717,"Organics, Other","Petroleum hydrocarbons, solids, silica-gel treated hexane extraction, recoverable, dry weight, milligrams per kilogram",mg/kg
63718,"Organics, Other","3-Nitro-4-hydroxyphenylarsonic acid, water, filtered, micrograms per liter as arsenic",ug/L as As
63719,"Inorganics, Major, Non-metals","Sulfur, water, filtered, micrograms per liter",ug/l
63720,"Organics, Pesticide","2,4,5-Trichlorophenoxybutyric acid, water, unfiltered, recoverable, micrograms per liter",ug/l
63721,"Organics, Pesticide","Fenitrothion, water, unfiltered, recoverable, micrograms per liter",ug/l
63722,"Organics, Pesticide","Sodium acifluorfen, water, unfiltered, recoverable, micrograms per liter",ug/l
63723,"Organics, Pesticide","1-Chloro-2,2-bis(4-chlorophenyl)ethene, water, unfiltered, recoverable, micrograms per liter",ug/l
63724,"Organics, Pesticide","Dichlobenil, water, unfiltered, recoverable, micrograms per liter",ug/l
63725,"Organics, Pesticide","Captafol, water, unfiltered, recoverable, micrograms per liter",ug/l
63726,"Organics, Pesticide","Temephos, water, unfiltered, recoverable, micrograms per liter",ug/l
63727,"Organics, Other","4-Epitetracycline hydrochloride, water, filtered, recoverable, micrograms per liter",ug/l
63728,"Organics, Other","4-Epianhydrochlortetracycline hydrochloride, water, filtered, recoverable, micrograms per liter",ug/l
63729,"Organics, Other","4-Epioxytetracycline, water, filtered, recoverable, micrograms per liter",ug/l
63730,"Organics, Other","4-Epianhydrotetracycline hydrochloride, water, filtered, recoverable, micrograms per liter",ug/l
63731,"Organics, Other","4-Epichlortetracycline hydrochloride, water, filtered, recoverable, micrograms per liter",ug/l
63735,"Organics, Pesticide","Propargite, water, unfiltered, recoverable, micrograms per liter",ug/l
63736,"Organics, Pesticide","Phosphamidon, water, filtered, recoverable, micrograms per liter",ug/l
63737,"Organics, Other","Hydrophobic acid fraction of dissolved organic carbon, water, filtered, percent",%
63738,"Organics, Other","Hydrophilic acid fraction of dissolved organic carbon, water, filtered, percent",%
63739,"Organics, Other","Transphilic organic acid fraction of dissolved organic carbon, water, filtered, percent",%
63740,Physical,"Loss on ignition, solids, percent",%
63741,"Organics, Other","Methylmercury, biota, tissue, recoverable, dry weight, micrograms per kilogram",ug/kg
63742,"Organics, Other","Specific UV absorbance at 254 nm of hydrophobic acid fraction of DOC, water, filtered, 100 times the absorbance per centimeter per milligram per liter of hydrophobic acid",100xA/cm/c
63743,"Organics, Other","Specific UV absorbance at 254 nm of hydrophilic acid fraction of DOC, water, filtered, 100 times the absorbance per centimeter per milligram per liter of hydrophilic acid",100xA/cm/c
63744,"Organics, Other","Specific UV absorbance at 254 nm of transphilic organic acid fraction of DOC, water, filtered, 100 times the absorbance per centimeter per mg/L of transphilic acid",100xA/cm/c
63745,"Inorganics, Minor, Metals","Mercury, biota, tissue, recoverable, dry weight, micrograms per kilogram",ug/kg
63746,"Organics, Other","Diesel range organic compounds (extended carbon range C10-C36), water, unfiltered, recoverable, milligrams per liter",mg/l
63747,"Organics, Other","Diesel range organic compounds (extended carbon range C10-C36), solids, recoverable, dry weight, milligrams per kilogram",mg/kg
63748,"Organics, Other","1,1,2-Trichloro-1,2,2-trifluoroethane, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
63749,"Organics, Other","Cyclohexane, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
63750,"Organics, Other","Methyl acetate, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
63751,"Organics, Other","Methylcyclohexane, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
63752,"Organics, Other","Biphenyl, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
63753,"Organics, Other","Caprolactam, solids, recoverable, dry weight, micrograms per kilogram",ug/kg
63754,"Organics, PCBs","Aroclor 1016, biota, tissue, recoverable, wet weight, micrograms per kilogram",ug/kg
63755,"Organics, PCBs","Aroclor 1221, biota, tissue, recoverable, wet weight, micrograms per kilogram",ug/kg
63756,"Organics, PCBs","Aroclor 1232, biota, tissue, recoverable, wet weight, micrograms per kilogram",ug/kg
63757,"Organics, PCBs","Aroclor 1242, biota, tissue, recoverable, wet weight, micrograms per kilogram",ug/kg
63758,"Organics, PCBs","Aroclor 1248, biota, tissue, recoverable, wet weight, micrograms per kilogram",ug/kg
63759,"Organics, PCBs","Aroclor 1254, biota, tissue, recoverable, wet weight, micrograms per kilogram",ug/kg
63760,"Organics, PCBs","Aroclor 1260, biota, tissue, recoverable, wet weight, micrograms per kilogram",ug/kg
63761,"Organics, PCBs","Aroclor 1262, biota, tissue, recoverable, wet weight, micrograms per kilogram",ug/kg
63762,"Organics, PCBs","Aroclor 1268, biota, tissue, recoverable, wet weight, micrograms per kilogram",ug/kg
63763,Biological,"Chlorophyll a, periphyton, depositional-targeted habitat (DTH), chromatographic-fluorometric method, milligrams per square meter",mg/m2
63764,Biological,"Pheophytin a, periphyton, depositional-targeted habitat (DTH), chromatographic-fluorometric method, milligrams per square meter",mg/m2
63765,Biological,"Biomass, periphyton, ash weight, depositional-targeted habitat (DTH), grams per square meter",g/m2
63766,Biological,"Biomass, periphyton, ash free dry weight, depositional-targeted habitat (DTH), grams per square meter",g/m2
63767,Biological,"Biomass, periphyton, dry weight, depositional-targeted habitat (DTH), grams per square meter",g/m2
63768,"Organics, Other","Butalbital, water, filtered, recoverable, micrograms per liter",ug/l
63769,"Organics, Other","Chlorpheniramine, water, filtered, recoverable, micrograms per liter",ug/l
63770,"Organics, Other","Diazepam, water, filtered, recoverable, micrograms per liter",ug/l
63771,"Organics, Other","Hydrocodone, water, filtered, recoverable, micrograms per liter",ug/l
63772,"Organics, Other","Metaxalone, water, filtered, recoverable, micrograms per liter",ug/l
63773,"Organics, Pesticide","Terbufos sulfone, water, filtered, recoverable, micrograms per liter",ug/l
63774,"Organics, Other","Methadone, water, filtered, recoverable, micrograms per liter",ug/l
63775,"Organics, Other","Oxycodone, water, filtered, recoverable, micrograms per liter",ug/l
63776,"Organics, Other","Phendimetrazine, water, filtered, recoverable, micrograms per liter",ug/l
63777,"Organics, Pesticide","Dechloroalachlor, water, filtered, recoverable, micrograms per liter",ug/l
63778,"Organics, Pesticide","Dechloroacetochlor, water, filtered, recoverable, micrograms per liter",ug/l
63779,"Organics, Pesticide","Dechlorodimethenamid, water, filtered, recoverable, micrograms per liter",ug/l
63780,"Organics, Pesticide","Dechlorometolachlor, water, filtered, recoverable, micrograms per liter",ug/l
63781,"Organics, Pesticide","2-Chloro-2',6'-diethylacetanilide, water, filtered, recoverable, micrograms per liter",ug/l
63782,"Organics, Pesticide","2-Chloro-N-(2-ethyl-6-methylphenyl)acetamide, water, filtered, recoverable, micrograms per liter",ug/l
63783,"Organics, Pesticide","Hydroxyalachlor, water, filtered, recoverable, micrograms per liter",ug/l
63784,"Organics, Pesticide","Hydroxyacetochlor, water, filtered, recoverable, micrograms per liter",ug/l
63785,"Organics, Pesticide","Hydroxymetolachlor, water, filtered, recoverable, micrograms per liter",ug/l
63786,"Inorganics, Major, Non-metals","Bicarbonate, water, filtered, Gran titration, field, milligrams per liter",mg/l
63788,"Inorganics, Major, Non-metals","Carbonate, water, filtered, Gran titration, field, milligrams per liter",mg/l
63789,"Inorganics, Major, Non-metals","Carbonate, water, filtered, Gran titration, lab, milligrams per liter",mg/l
63790,"Inorganics, Minor, Non-metals","Perchlorate, water, filtered, micrograms per liter",ug/l
63791,"Inorganics, Minor, Non-metals","Perchlorate, biota, tissue, recoverable, dry weight, micrograms per kilogram",ug/kg
63792,"Inorganics, Minor, Metals","Mercury, biota, tissue, recoverable, wet weight, milligrams per kilogram",mg/kg
63793,"Inorganics, Minor, Non-metals","Antimony, biota, tissue, recoverable, wet weight, milligrams per kilogram",mg/kg
63794,"Inorganics, Minor, Non-metals","Arsenic, biota, tissue, recoverable, wet weight, milligrams per kilogram",mg/kg
63795,"Inorganics, Minor, Metals","Barium, biota, tissue, recoverable, wet weight, milligrams per kilogram",mg/kg
63796,"Inorganics, Minor, Metals","Cadmium, biota, tissue, recoverable, wet weight, milligrams per kilogram",mg/kg
63797,"Inorganics, Minor, Metals","Chromium, biota, tissue, recoverable, wet weight, milligrams per kilogram",mg/kg
63798,"Inorganics, Minor, Metals","Cobalt, biota, tissue, recoverable, wet weight, milligrams per kilogram",mg/kg
63799,"Inorganics, Minor, Metals","Copper, biota, tissue, recoverable, wet weight, milligrams per kilogram",mg/kg
63800,"Inorganics, Minor, Metals","Lead, biota, tissue, recoverable, wet weight, milligrams per kilogram",mg/kg
63801,"Inorganics, Minor, Metals","Manganese, biota, tissue, recoverable, wet weight, milligrams per kilogram",mg/kg
63802,"Inorganics, Minor, Metals","Molybdenum, biota, tissue, recoverable, wet weight, milligrams per kilogram",mg/kg
63803,"Inorganics, Minor, Metals","Nickel, biota, tissue, recoverable, wet weight, milligrams per kilogram",mg/kg
63804,"Inorganics, Minor, Non-metals","Selenium, biota, tissue, recoverable, wet weight, milligrams per kilogram",mg/kg
63805,"Inorganics, Minor, Metals","Silver, biota, tissue, recoverable, wet weight, milligrams per kilogram",mg/kg
63807,Radiochemical,"Uranium, biota, tissue, recoverable, wet weight, milligrams per kilogram",mg/kg
63809,"Inorganics, Minor, Metals","Zinc, biota, tissue, recoverable, wet weight, milligrams per kilogram",mg/kg
63810,"Organics, Other","1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin, biota, tissue, recoverable, wet weight, nanograms per kilogram",ng/kg
63811,"Organics, Other","1,2,3,4,6,7,8-Heptachlorodibenzofuran, biota, tissue, recoverable, wet weight, nanograms per kilogram",ng/kg
63812,"Organics, Other","1,2,3,4,7,8,9-Heptachlorodibenzofuran, biota, tissue, recoverable, wet weight, nanograms per kilogram",ng/kg
63813,"Organics, Other","1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin, biota, tissue, recoverable, wet weight, nanograms per kilogram",ng/kg
63814,"Organics, Other","1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin, biota, tissue, recoverable, wet weight, nanograms per kilogram",ng/kg
63815,"Organics, Other","1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin, biota, tissue, recoverable, wet weight, nanograms per kilogram",ng/kg
63816,"Organics, Other","1,2,3,4,7,8-Hexachlorodibenzofuran, biota, tissue, recoverable, wet weight, nanograms per kilogram",ng/kg
63817,"Organics, Other","1,2,3,6,7,8-Hexachlorodibenzofuran, biota, tissue, recoverable, wet weight, nanograms per kilogram",ng/kg
63818,"Organics, Other","1,2,3,7,8,9-Hexachlorodibenzofuran, biota, tissue, recoverable, wet weight, nanograms per kilogram",ng/kg
63819,"Organics, Other","2,3,4,6,7,8-Hexachlorodibenzofuran, biota, tissue, recoverable, wet weight, nanograms per kilogram",ng/kg
63820,"Organics, Other","1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin, biota, tissue, recoverable, wet weight, nanograms per kilogram",ng/kg
63821,"Organics, Other","1,2,3,4,6,7,8,9-Octachlorodibenzofuran, biota, tissue, recoverable, wet weight, nanograms per kilogram",ng/kg
63822,"Organics, Other","1,2,3,7,8-Pentachlorodibenzo-p-dioxin, biota, tissue, recoverable, wet weight, nanograms per kilogram",ng/kg
63823,"Organics, Other","1,2,3,7,8-Pentachlorodibenzofuran, biota, tissue, recoverable, wet weight, nanograms per kilogram",ng/kg
63824,"Organics, Other","2,3,4,7,8-Pentachlorodibenzofuran, biota, tissue, recoverable, wet weight, nanograms per kilogram",ng/kg
63825,"Organics, Other","2,3,7,8-Tetrachlorodibenzo-p-dioxin, biota, tissue, recoverable, wet weight, nanograms per kilogram",ng/kg
63826,"Organics, Other","2,3,7,8-Tetrachlorodibenzofuran, biota, tissue, recoverable, wet weight, nanograms per kilogram",ng/kg
63827,"Organics, Other","Heptachlorodibenzo-p-dioxins (all isomers), biota, tissue, recoverable, wet weight, nanograms per kilogram",ng/kg
63828,"Organics, Other","Heptachlorodibenzofurans (all isomers), biota, tissue, recoverable, wet weight, nanograms per kilogram",ng/kg
63829,"Organics, Pesticide","Hexachlorodibenzo-p-dioxins (all isomers), biota, tissue, recoverable, wet weight, nanograms per kilogram",ng/kg
63830,"Organics, Other","Hexachlorodibenzofurans (all isomers), biota, tissue, recoverable, wet weight, nanograms per kilogram",ng/kg
63831,"Organics, Other","Pentachlorodibenzo-p-dioxins (all isomers), biota, tissue, recoverable, wet weight, nanograms per kilogram",ng/kg
63832,"Organics, Other","Pentachlorodibenzofurans (all isomers), biota, tissue, recoverable, wet weight, nanograms per kilogram",ng/kg
63833,"Organics, Other","Tetrachlorodibenzo-p-dioxins (all isomers), biota, tissue, recoverable, wet weight, nanograms per kilogram",ng/kg
63834,"Organics, Other","Tetrachlorodibenzofurans (all isomers), biota, tissue, recoverable, wet weight, nanograms per kilogram",ng/kg
63835,"Organics, PCBs","PCB congener 1, water, filtered, recoverable, picograms per liter",pg/l
63836,"Organics, PCBs","PCB congener 2, water, filtered, recoverable, picograms per liter",pg/l
63837,"Organics, PCBs","PCB congener 3, water, filtered, recoverable, picograms per liter",pg/l
63838,"Organics, PCBs","PCB congener 4, water, filtered, recoverable, picograms per liter",pg/l
63839,"Organics, PCBs","PCB congener 5, water, filtered, recoverable, picograms per liter",pg/l
63840,"Organics, PCBs","PCB congener 6, water, filtered, recoverable, picograms per liter",pg/l
63841,"Organics, PCBs","PCB congener 7, water, filtered, recoverable, picograms per liter",pg/l
63842,"Organics, PCBs","PCB congener 8, water, filtered, recoverable, picograms per liter",pg/l
63843,"Organics, PCBs","PCB congener 9, water, filtered, recoverable, picograms per liter",pg/l
63844,"Organics, PCBs","PCB congener 10, water, filtered, recoverable, picograms per liter",pg/l
63845,"Organics, PCBs","PCB congener 11, water, filtered, recoverable, picograms per liter",pg/l
63846,"Organics, PCBs","PCB congener 12, water, filtered, recoverable, picograms per liter",pg/l
63847,"Organics, PCBs","PCB congener 13, water, filtered, recoverable, picograms per liter",pg/l
63848,"Organics, PCBs","PCB congener 14, water, filtered, recoverable, picograms per liter",pg/l
63849,"Organics, PCBs","PCB congener 15, water, filtered, recoverable, picograms per liter",pg/l
63850,"Organics, PCBs","PCB congener 16, water, filtered, recoverable, picograms per liter",pg/l
63851,"Organics, PCBs","PCB congener 17, water, filtered, recoverable, picograms per liter",pg/l
63852,"Organics, PCBs","PCB congener 18, water, filtered, recoverable, picograms per liter",pg/l
63853,"Organics, PCBs","PCB congener 19, water, filtered, recoverable, picograms per liter",pg/l
63854,"Organics, PCBs","PCB congener 20, water, filtered, recoverable, picograms per liter",pg/l
63855,"Organics, PCBs","PCB congener 21, water, filtered, recoverable, picograms per liter",pg/l
63856,"Organics, PCBs","PCB congener 22, water, filtered, recoverable, picograms per liter",pg/l
63857,"Organics, PCBs","PCB congener 23, water, filtered, recoverable, picograms per liter",pg/l
63858,"Organics, PCBs","PCB congener 24, water, filtered, recoverable, picograms per liter",pg/l
63859,"Organics, PCBs","PCB congener 25, water, filtered, recoverable, picograms per liter",pg/l
63860,"Organics, PCBs","PCB congener 26, water, filtered, recoverable, picograms per liter",pg/l
63861,"Organics, PCBs","PCB congener 27, water, filtered, recoverable, picograms per liter",pg/l
63862,"Organics, PCBs","PCB congener 28, water, filtered, recoverable, picograms per liter",pg/l
63863,"Organics, PCBs","PCB congener 29, water, filtered, recoverable, picograms per liter",pg/l
63864,"Organics, PCBs","PCB congener 30, water, filtered, recoverable, picograms per liter",pg/l
63865,"Organics, PCBs","PCB congener 31, water, filtered, recoverable, picograms per liter",pg/l
63866,"Organics, PCBs","PCB congener 32, water, filtered, recoverable, picograms per liter",pg/l
63867,"Organics, PCBs","PCB congener 33, water, filtered, recoverable, picograms per liter",pg/l
63868,"Organics, PCBs","PCB congener 34, water, filtered, recoverable, picograms per liter",pg/l
63869,"Organics, PCBs","PCB congener 35, water, filtered, recoverable, picograms per liter",pg/l
63870,"Organics, PCBs","PCB congener 36, water, filtered, recoverable, picograms per liter",pg/l
63871,"Organics, PCBs","PCB congener 37, water, filtered, recoverable, picograms per liter",pg/l
63872,"Organics, PCBs","PCB congener 38, water, filtered, recoverable, picograms per liter",pg/l
63873,"Organics, PCBs","PCB congener 39, water, filtered, recoverable, picograms per liter",pg/l
63874,"Organics, PCBs","PCB congener 40, water, filtered, recoverable, picograms per liter",pg/l
63875,"Organics, PCBs","PCB congener 41, water, filtered, recoverable, picograms per liter",pg/l
63876,"Organics, PCBs","PCB congener 42, water, filtered, recoverable, picograms per liter",pg/l
63877,"Organics, PCBs","PCB congener 43, water, filtered, recoverable, picograms per liter",pg/l
63878,"Organics, PCBs","PCB congener 44, water, filtered, recoverable, picograms per liter",pg/l
63879,"Organics, PCBs","PCB congener 45, water, filtered, recoverable, picograms per liter",pg/l
63880,"Organics, PCBs","PCB congener 46, water, filtered, recoverable, picograms per liter",pg/l
63881,"Organics, PCBs","PCB congener 47, water, filtered, recoverable, picograms per liter",pg/l
63882,"Organics, PCBs","PCB congener 48, water, filtered, recoverable, picograms per liter",pg/l
63883,"Organics, PCBs","PCB congener 49, water, filtered, recoverable, picograms per liter",pg/l
63884,"Organics, PCBs","PCB congener 50, water, filtered, recoverable, picograms per liter",pg/l
63885,"Organics, PCBs","PCB congener 51, water, filtered, recoverable, picograms per liter",pg/l
63886,"Organics, PCBs","PCB congener 52, water, filtered, recoverable, picograms per liter",pg/l
63887,"Organics, PCBs","PCB congener 53, water, filtered, recoverable, picograms per liter",pg/l
63888,"Organics, PCBs","PCB congener 54, water, filtered, recoverable, picograms per liter",pg/l
63889,"Organics, PCBs","PCB congener 55, water, filtered, recoverable, picograms per liter",pg/l
63890,"Organics, PCBs","PCB congener 56, water, filtered, recoverable, picograms per liter",pg/l
63891,"Organics, PCBs","PCB congener 57, water, filtered, recoverable, picograms per liter",pg/l
63892,"Organics, PCBs","PCB congener 58, water, filtered, recoverable, picograms per liter",pg/l
63893,"Organics, PCBs","PCB congener 59, water, filtered, recoverable, picograms per liter",pg/l
63894,"Organics, PCBs","PCB congener 60, water, filtered, recoverable, picograms per liter",pg/l
63895,"Organics, PCBs","PCB congener 61, water, filtered, recoverable, picograms per liter",pg/l
63896,"Organics, PCBs","PCB congener 62, water, filtered, recoverable, picograms per liter",pg/l
63897,"Organics, PCBs","PCB congener 63, water, filtered, recoverable, picograms per liter",pg/l
63898,"Organics, PCBs","PCB congener 64, water, filtered, recoverable, picograms per liter",pg/l
63899,"Organics, PCBs","PCB congener 65, water, filtered, recoverable, picograms per liter",pg/l
63900,"Organics, PCBs","PCB congener 66, water, filtered, recoverable, picograms per liter",pg/l
63901,"Organics, PCBs","PCB congener 67, water, filtered, recoverable, picograms per liter",pg/l
63902,"Organics, PCBs","PCB congener 68, water, filtered, recoverable, picograms per liter",pg/l
63903,"Organics, PCBs","PCB congener 69, water, filtered, recoverable, picograms per liter",pg/l
63904,"Organics, PCBs","PCB congener 70, water, filtered, recoverable, picograms per liter",pg/l
63905,"Organics, PCBs","PCB congener 71, water, filtered, recoverable, picograms per liter",pg/l
63906,"Organics, PCBs","PCB congener 72, water, filtered, recoverable, picograms per liter",pg/l
63907,"Organics, PCBs","PCB congener 73, water, filtered, recoverable, picograms per liter",pg/l
63908,"Organics, PCBs","PCB congener 74, water, filtered, recoverable, picograms per liter",pg/l
63909,"Organics, PCBs","PCB congener 75, water, filtered, recoverable, picograms per liter",pg/l
63910,"Organics, PCBs","PCB congener 76, water, filtered, recoverable, picograms per liter",pg/l
63911,"Organics, PCBs","PCB congener 77, water, filtered, recoverable, picograms per liter",pg/l
63912,"Organics, PCBs","PCB congener 78, water, filtered, recoverable, picograms per liter",pg/l
63913,"Organics, PCBs","PCB congener 79, water, filtered, recoverable, picograms per liter",pg/l
63914,"Organics, PCBs","PCB congener 80, water, filtered, recoverable, picograms per liter",pg/l
63915,"Organics, PCBs","PCB congener 81, water, filtered, recoverable, picograms per liter",pg/l
63916,"Organics, PCBs","PCB congener 82, water, filtered, recoverable, picograms per liter",pg/l
63917,"Organics, PCBs","PCB congener 83, water, filtered, recoverable, picograms per liter",pg/l
63918,"Organics, PCBs","PCB congener 84, water, filtered, recoverable, picograms per liter",pg/l
63919,"Organics, PCBs","PCB congener 85, water, filtered, recoverable, picograms per liter",pg/l
63920,"Organics, PCBs","PCB congener 86, water, filtered, recoverable, picograms per liter",pg/l
63921,"Organics, PCBs","PCB congener 87, water, filtered, recoverable, picograms per liter",pg/l
63922,"Organics, PCBs","PCB congener 88, water, filtered, recoverable, picograms per liter",pg/l
63923,"Organics, PCBs","PCB congener 89, water, filtered, recoverable, picograms per liter",pg/l
63924,"Organics, PCBs","PCB congener 90, water, filtered, recoverable, picograms per liter",pg/l
63925,"Organics, PCBs","PCB congener 91, water, filtered, recoverable, picograms per liter",pg/l
63926,"Organics, PCBs","PCB congener 92, water, filtered, recoverable, picograms per liter",pg/l
63927,"Organics, PCBs","PCB congener 93, water, filtered, recoverable, picograms per liter",pg/l
63928,"Organics, PCBs","PCB congener 94, water, filtered, recoverable, picograms per liter",pg/l
63929,"Organics, PCBs","PCB congener 95, water, filtered, recoverable, picograms per liter",pg/l
63930,"Organics, PCBs","PCB congener 96, water, filtered, recoverable, picograms per liter",pg/l
63931,"Organics, PCBs","PCB congener 97, water, filtered, recoverable, picograms per liter",pg/l
63932,"Organics, PCBs","PCB congener 98, water, filtered, recoverable, picograms per liter",pg/l
63933,"Organics, PCBs","PCB congener 99, water, filtered, recoverable, picograms per liter",pg/l
63934,"Organics, PCBs","PCB congener 100, water, filtered, recoverable, picograms per liter",pg/l
63935,"Organics, PCBs","PCB congener 101, water, filtered, recoverable, picograms per liter",pg/l
63936,"Organics, PCBs","PCB congener 102, water, filtered, recoverable, picograms per liter",pg/l
63937,"Organics, PCBs","PCB congener 103, water, filtered, recoverable, picograms per liter",pg/l
63938,"Organics, PCBs","PCB congener 104, water, filtered, recoverable, picograms per liter",pg/l
63939,"Organics, PCBs","PCB congener 105, water, filtered, recoverable, picograms per liter",pg/l
63940,"Organics, PCBs","PCB congener 106, water, filtered, recoverable, picograms per liter",pg/l
63941,"Organics, PCBs","PCB congener 107, water, filtered, recoverable, picograms per liter",pg/l
63942,"Organics, PCBs","PCB congener 108, water, filtered, recoverable, picograms per liter",pg/l
63943,"Organics, PCBs","PCB congener 109, water, filtered, recoverable, picograms per liter",pg/l
63944,"Organics, PCBs","PCB congener 110, water, filtered, recoverable, picograms per liter",pg/l
63945,"Organics, PCBs","PCB congener 111, water, filtered, recoverable, picograms per liter",pg/l
63946,"Organics, PCBs","PCB congener 112, water, filtered, recoverable, picograms per liter",pg/l
63947,"Organics, PCBs","PCB congener 113, water, filtered, recoverable, picograms per liter",pg/l
63948,"Organics, PCBs","PCB congener 114, water, filtered, recoverable, picograms per liter",pg/l
63949,"Organics, PCBs","PCB congener 115, water, filtered, recoverable, picograms per liter",pg/l
