parm_cd,group,parm_nm,parm_unit
34398,"Organics, Other","Hexachloroethane, suspended sediment, recoverable, micrograms per liter",ug/l
34399,"Organics, Other","Hexachloroethane, bed sediment, recoverable, dry weight, micrograms per kilogram",ug/kg
34401,"Organics, Pesticide","Hexachlorobenzene, water, filtered, recoverable, micrograms per liter",ug/l
34402,"Organics, Pesticide","Hexachlorobenzene, suspended sediment, recoverable, micrograms per liter",ug/l
34403,"Organics, Other","Indeno[1,2,3-cd]pyrene, water, unfiltered, recoverable, micrograms per liter",ug/l
34404,"Organics, Other","Indeno[1,2,3-cd]pyrene, water, filtered, recoverable, micrograms per liter",ug/l
34405,"Organics, Other","Indeno[1,2,3-cd]pyrene, suspended sediment, recoverable, micrograms per liter",ug/l
34406,"Organics, Other","Indeno[1,2,3-cd]pyrene, bed sediment, recoverable, dry weight, micrograms per kilogram",ug/kg
34408,"Organics, Other","Isophorone, water, unfiltered, recoverable, micrograms per liter",ug/l
34409,"Organics, Other","Isophorone, water, filtered, recoverable, micrograms per liter",ug/l
34410,"Organics, Other","Isophorone, suspended sediment, recoverable, micrograms per liter",ug/l
34411,"Organics, Other","Isophorone, bed sediment, recoverable, dry weight, micrograms per kilogram",ug/kg
34413,"Organics, Pesticide","Bromomethane, water, unfiltered, recoverable, micrograms per liter",ug/l
34414,"Organics, Pesticide","Bromomethane, water, filtered, recoverable, micrograms per liter",ug/l
34416,"Organics, Pesticide","Bromomethane, bed sediment, recoverable, dry weight, micrograms per kilogram",ug/kg
34418,"Organics, Other","Chloromethane, water, unfiltered, recoverable, micrograms per liter",ug/l
34421,"Organics, Other","Chloromethane, bed sediment, recoverable, dry weight, micrograms per kilogram",ug/kg
34423,"Organics, Other","Dichloromethane, water, unfiltered, recoverable, micrograms per liter",ug/l
34424,"Organics, Other","Dichloromethane, water, filtered, recoverable, micrograms per liter",ug/l
34426,"Organics, Other","Dichloromethane, bed sediment, recoverable, dry weight, micrograms per kilogram",ug/kg
34428,"Organics, Other","N-Nitrosodi-n-propylamine, water, unfiltered, recoverable, micrograms per liter",ug/l
34429,"Organics, Other","N-Nitrosodi-n-propylamine, water, filtered, recoverable, micrograms per liter",ug/l
34430,"Organics, Other","N-Nitrosodi-n-propylamine, suspended sediment, recoverable, micrograms per liter",ug/l
34431,"Organics, Other","N-Nitrosodi-n-propylamine, bed sediment, recoverable, dry weight, micrograms per kilogram",ug/kg
34433,"Organics, Other","N-Nitrosodiphenylamine, water, unfiltered, recoverable, micrograms per liter",ug/l
34434,"Organics, Other","N-Nitrosodiphenylamine, water, filtered, recoverable, micrograms per liter",ug/l
34435,"Organics, Other","N-Nitrosodiphenylamine, suspended sediment, recoverable, micrograms per liter",ug/l
34436,"Organics, Other","N-Nitrosodiphenylamine, bed sediment, recoverable, dry weight, micrograms per kilogram",ug/kg
34438,"Organics, Other","N-Nitrosodimethylamine (NDMA), water, unfiltered, recoverable, micrograms per liter",ug/l
34439,"Organics, Other","N-Nitrosodimethylamine (NDMA), water, filtered, recoverable, micrograms per liter",ug/l
34440,"Organics, Other","N-Nitrosodimethylamine (NDMA), suspended sediment, recoverable, micrograms per liter",ug/l
34441,"Organics, Other","N-Nitrosodimethylamine (NDMA), bed sediment, recoverable, dry weight, micrograms per kilogram",ug/kg
34443,"Organics, Other","Naphthalene, water, filtered, recoverable, micrograms per liter",ug/l
34444,"Organics, Other","Naphthalene, suspended sediment, recoverable, micrograms per liter",ug/l
34445,"Organics, Other","Naphthalene, bed sediment, recoverable, dry weight, micrograms per kilogram",ug/kg
34447,"Organics, Other","Nitrobenzene, water, unfiltered, recoverable, micrograms per liter",ug/l
34448,"Organics, Other","Nitrobenzene, water, filtered, recoverable, micrograms per liter",ug/l
34449,"Organics, Other","Nitrobenzene, suspended sediment, recoverable, micrograms per liter",ug/l
34450,"Organics, Other","Nitrobenzene, bed sediment, recoverable, dry weight, micrograms per kilogram",ug/kg
34452,"Organics, Pesticide","4-Chloro-3-methylphenol, water, unfiltered, recoverable, micrograms per liter",ug/l
34453,"Organics, Pesticide","4-Chloro-3-methylphenol, water, filtered, recoverable, micrograms per liter",ug/l
34454,"Organics, Pesticide","4-Chloro-3-methylphenol, suspended sediment, recoverable, micrograms per liter",ug/l
34455,"Organics, Pesticide","4-Chloro-3-methylphenol, bed sediment, recoverable, dry weight, micrograms per kilogram",ug/kg
34457,"Organics, PCBs","Aroclor 1242, water, filtered, recoverable, micrograms per liter",ug/l
34458,"Organics, PCBs","Aroclor 1242, suspended sediment, recoverable, micrograms per liter",ug/l
34459,"Organics, Pesticide","Pentachlorophenol, water, filtered, recoverable, micrograms per liter",ug/l
34460,"Organics, Pesticide","Pentachlorophenol, suspended sediment, recoverable, micrograms per liter",ug/l
